Date,Amount,Normalized Amount,Type,Fund,Campaign,Appeal,Primary ZIP Code,Account Number,Total Donation,Num Months,Average Monthly Donation
1/14/2024,250000,0.011432128,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-6011,14553,15722436.67,21,748687.4605
7/28/2023,250000,0.011432128,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-1031,4496,15722436.67,21,748687.4605
5/19/2023,250000,0.011432128,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53597-2634,4369,15722436.67,21,748687.4605
6/26/2024,200000,0.009145703,Pledge Payment,Unrestricted,Support The River,Foundation Application,98103,13936,4151322.47,21,197682.0224
11/16/2023,200000,0.009145703,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-1015,408,15722436.67,21,748687.4605
5/30/2024,150000,0.006859277,Soft Credit,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53704-1031,4496,15722436.67,21,748687.4605
5/30/2024,150000,0.006859277,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,02889-9509,19853,15722436.67,21,748687.4605
3/11/2024,150000,0.006859277,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53705-0187,5426,15722436.67,21,748687.4605
7/31/2023,150000,0.006859277,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53703-2718,3457,15722436.67,21,748687.4605
6/28/2023,150000,0.006859277,Donation,Unrestricted,Support The River,Foundation Application,98103,13936,4151322.47,21,197682.0224
5/31/2023,150000,0.006859277,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Application,53703-3861,9600,15722436.67,21,748687.4605
8/24/2023,102745.83,0.004698414,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53508-9173,3858,15722436.67,21,748687.4605
12/20/2023,102181.44,0.004672605,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-1756,15378,15722436.67,21,748687.4605
12/18/2023,102181.44,0.004672605,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-1756,15378,15722436.67,21,748687.4605
12/21/2023,101641.18,0.0046479,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53508-9173,3858,15722436.67,21,748687.4605
6/10/2024,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53714-2232,3546,15722436.67,21,748687.4605
5/2/2024,100000,0.004572851,Soft Credit,Unrestricted,Support The River,Foundation Multi Channel,53704-1031,4496,4151322.47,21,197682.0224
5/2/2024,100000,0.004572851,Donation,Unrestricted,Support The River,Foundation Multi Channel,02889-9509,19853,4151322.47,21,197682.0224
2/2/2024,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53708-8798,9164,15722436.67,21,748687.4605
12/29/2023,100000,0.004572851,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53714-2232,3546,15722436.67,21,748687.4605
12/26/2023,100000,0.004572851,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53705-1115,9387,15722436.67,21,748687.4605
12/21/2023,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-2239,2045,15722436.67,21,748687.4605
12/14/2023,100000,0.004572851,Pledge Payment,Cap Camp Building,2023-2024 Recipe for Hope,Individual Multi Channel,53704-4327,3299,15722436.67,21,748687.4605
12/4/2023,100000,0.004572851,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53597-2634,4369,15722436.67,21,748687.4605
11/14/2023,100000,0.004572851,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53597-2621,14079,15722436.67,21,748687.4605
11/12/2023,100000,0.004572851,Pledge,Cap Camp Building,2023-2024 Recipe for Hope,Individual Multi Channel,53704-4327,3299,15722436.67,21,748687.4605
10/20/2023,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53703-1618,3911,15722436.67,21,748687.4605
10/10/2023,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53705-4463,9694,15722436.67,21,748687.4605
8/28/2023,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-7044,3551,15722436.67,21,748687.4605
7/14/2023,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Phone,53711-5527,67,15722436.67,21,748687.4605
6/14/2023,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53597-2621,14079,15722436.67,21,748687.4605
5/9/2023,100000,0.004572851,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-4918,1934,15722436.67,21,748687.4605
2/22/2024,85000,0.003886924,Donation,Programs/Operations,Support The River,Foundation Application,55101-4914,6480,4151322.47,21,197682.0224
8/30/2023,81943,0.003747132,Donation,Recovery,Support The River,Business Application,53705,15543,4151322.47,21,197682.0224
9/20/2024,80000,0.003658281,Pledge,FAM,Support The River,Foundation Application,6902,14371,4151322.47,21,197682.0224
12/6/2023,75000,0.003429638,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53701-1231,7103,15722436.67,21,748687.4605
11/8/2023,75000,0.003429638,Pledge Payment,Cap Camp Building,2023-2024 Recipe for Hope,Foundation Application,98103,13936,15722436.67,21,748687.4605
10/10/2023,75000,0.003429638,Pledge,Cap Camp Building,2023-2024 Recipe for Hope,Foundation Application,98103,13936,15722436.67,21,748687.4605
12/13/2023,63537.71,0.002905485,Donation,Programs/Operations,Support The River,Gov Application,53703-3340,1910,4151322.47,21,197682.0224
5/1/2024,57458.25,0.00262748,Donation,Unrestricted,In-Kind,Business Multi Channel,53045,20039,1331842.88,20,66592.144
6/13/2024,50461.88,0.002307547,Donation,Unrestricted,Support The River,Individual Multi Channel,53711-7708,13964,4151322.47,21,197682.0224
12/21/2023,50454.51,0.00230721,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53711-5147,2401,15722436.67,21,748687.4605
12/15/2023,50454.51,0.00230721,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53711-5147,2401,15722436.67,21,748687.4605
8/4/2023,50182.44,0.002294768,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-3327,3834,15722436.67,21,748687.4605
7/21/2023,50182.44,0.002294768,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-3327,3834,15722436.67,21,748687.4605
7/16/2024,50000,0.002286426,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-6011,14553,15722436.67,21,748687.4605
6/20/2024,50000,0.002286426,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53783-0001,2596,15722436.67,21,748687.4605
5/1/2024,50000,0.002286426,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Application,53703-3861,9600,15722436.67,21,748687.4605
4/29/2024,50000,0.002286426,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53701-1497,18860,15722436.67,21,748687.4605
4/26/2024,50000,0.002286426,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704,20017,15722436.67,21,748687.4605
4/26/2024,50000,0.002286426,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704,20017,15722436.67,21,748687.4605
4/3/2024,50000,0.002286426,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53701-1497,18860,15722436.67,21,748687.4605
2/2/2024,50000,0.002286426,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53708-8798,9164,15722436.67,21,748687.4605
9/18/2023,50000,0.002286426,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53527,15497,15722436.67,21,748687.4605
8/11/2023,50000,0.002286426,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53703-2718,3457,15722436.67,21,748687.4605
5/25/2023,50000,0.002286426,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Application,53703-3861,9600,15722436.67,21,748687.4605
5/5/2023,50000,0.002286426,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53711-5147,2401,15722436.67,21,748687.4605
9/6/2024,46648.69,0.002133175,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53597-9694,12055,15722436.67,21,748687.4605
9/8/2023,45000,0.002057783,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-6029,1886,15722436.67,21,748687.4605
7/10/2023,45000,0.002057783,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-1558,484,15722436.67,21,748687.4605
11/27/2023,36075,0.001649656,Donation,Programs/Operations,Support The River,Business Application,53562-4840,5206,4151322.47,21,197682.0224
12/7/2023,33333.33,0.001524284,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53703-1618,3911,15722436.67,21,748687.4605
11/30/2023,33333,0.001524269,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-4918,1934,15722436.67,21,748687.4605
6/12/2024,30000,0.001371855,Donation,Programs/Operations,Support The River,Foundation Application,53527-8801,19064,4151322.47,21,197682.0224
6/6/2024,30000,0.001371855,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53704,20117,15722436.67,21,748687.4605
5/22/2024,30000,0.001371855,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53704,20117,15722436.67,21,748687.4605
12/21/2023,30000,0.001371855,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-2239,2045,15722436.67,21,748687.4605
8/23/2023,30000,0.001371855,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-5916,15444,15722436.67,21,748687.4605
8/9/2024,26157,0.001196121,Soft Credit,Unrestricted,In-Kind,Business Multi Channel,53704-5945,10390,1331842.88,20,66592.144
8/9/2024,26157,0.001196121,Donation,Unrestricted,In-Kind,Business Multi Channel,53718-6751,5387,1331842.88,20,66592.144
5/22/2023,25001.34,0.001143274,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53705-4662,216,15722436.67,21,748687.4605
9/19/2024,25000,0.001143213,Donation,Programs/Operations,Support The River,Business Application,20472-0546,20437,4151322.47,21,197682.0224
7/8/2024,25000,0.001143213,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-2723,4000,15722436.67,21,748687.4605
6/6/2024,25000,0.001143213,Soft Credit,Unrestricted,Support The River,Foundation Multi Channel,53211-2644,10164,4151322.47,21,197682.0224
6/6/2024,25000,0.001143213,Donation,Unrestricted,Support The River,Foundation Multi Channel,60603,696,4151322.47,21,197682.0224
1/30/2024,25000,0.001143213,Soft Credit,Unrestricted,Support The River,Foundation Multi Channel,53211-2644,10164,4151322.47,21,197682.0224
1/30/2024,25000,0.001143213,Donation,Unrestricted,Support The River,Foundation Multi Channel,60603,696,4151322.47,21,197682.0224
12/28/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53558-9333,19069,15722436.67,21,748687.4605
12/15/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53593-1518,19171,15722436.67,21,748687.4605
12/11/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,33950-8125,14219,15722436.67,21,748687.4605
12/6/2023,25000,0.001143213,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53701-1231,7103,15722436.67,21,748687.4605
11/27/2023,25000,0.001143213,Donation,Unrestricted,Support The River,Foundation Application,53703-4501,6976,4151322.47,21,197682.0224
11/27/2023,25000,0.001143213,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53711-2023,18904,15722436.67,21,748687.4605
11/22/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53572-1303,18927,15722436.67,21,748687.4605
11/18/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53711-2023,18904,15722436.67,21,748687.4605
11/7/2023,25000,0.001143213,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53597-2382,9364,15722436.67,21,748687.4605
9/21/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53561-9653,2375,15722436.67,21,748687.4605
9/18/2023,25000,0.001143213,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-1226,4485,15722436.67,21,748687.4605
9/18/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-1226,4485,15722436.67,21,748687.4605
8/29/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53703-3622,2827,15722436.67,21,748687.4605
8/22/2023,25000,0.001143213,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53711-5147,2401,15722436.67,21,748687.4605
8/21/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,85739-1083,2328,15722436.67,21,748687.4605
8/15/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53575-3442,5314,15722436.67,21,748687.4605
8/10/2023,25000,0.001143213,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-4752,2385,15722436.67,21,748687.4605
8/10/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-4752,2385,15722436.67,21,748687.4605
7/26/2023,25000,0.001143213,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Event,53597-9296,15379,15722436.67,21,748687.4605
6/29/2023,25000,0.001143213,Donation,Unrestricted,Support The River,Foundation Application,98103,13936,4151322.47,21,197682.0224
6/9/2023,25000,0.001143213,Donation,Programs/Operations,Support The River,Business Application,54402-8026,742,4151322.47,21,197682.0224
6/1/2023,25000,0.001143213,Soft Credit,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Phone,53211-2644,10164,15722436.67,21,748687.4605
6/1/2023,25000,0.001143213,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Phone,60603,696,15722436.67,21,748687.4605
5/5/2023,25000,0.001143213,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53711-5147,2401,15722436.67,21,748687.4605
3/16/2023,25000,0.001143213,Donation,Unrestricted,Support The River,Foundation Multi Channel,60603,696,4151322.47,21,197682.0224
8/17/2023,23206,0.001061176,Soft Credit,Unrestricted,In-Kind,Business Multi Channel,53704-5945,10390,1331842.88,20,66592.144
8/17/2023,23206,0.001061176,Donation,Unrestricted,In-Kind,Business Multi Channel,53718-6751,5387,1331842.88,20,66592.144
2/6/2024,23000,0.001051756,Donation,Unrestricted,Support The River,Foundation Multi Channel,53593-9179,5147,4151322.47,21,197682.0224
3/13/2023,23000,0.001051756,Donation,Unrestricted,Support The River,Business Multi Channel,53593-9179,5147,4151322.47,21,197682.0224
6/24/2024,20000,0.00091457,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,53562-3278,15390,4151322.47,21,197682.0224
6/24/2024,20000,0.00091457,Donation,Unrestricted,Support The River,Individual Multi Channel,02889-9509,19853,4151322.47,21,197682.0224
6/21/2024,20000,0.00091457,Donation,Unrestricted,Support The River,Foundation Multi Channel,62025,428,4151322.47,21,197682.0224
3/26/2024,20000,0.00091457,Donation,Programs/Operations,2024 Match Madness,Foundation Multi Channel,62025,428,63408.02,3,21136.00667
12/31/2023,20000,0.00091457,Donation,Unrestricted,Support The River,Business Multi Channel,53713,14307,4151322.47,21,197682.0224
12/31/2023,20000,0.00091457,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-7044,3551,15722436.67,21,748687.4605
12/11/2023,20000,0.00091457,Donation,Munch,Support The River,Foundation Application,53783-0001,4193,4151322.47,21,197682.0224
11/21/2023,20000,0.00091457,Donation,Unrestricted,Support The River,Foundation Multi Channel,53704-1531,4272,4151322.47,21,197682.0224
11/2/2023,20000,0.00091457,Donation,Programs/Operations,2023 HOPE,Individual Mailing,53704-6011,14553,110700.59,3,36900.19667
10/27/2023,20000,0.00091457,Pledge,Cap Camp Building,2023-2024 Recipe for Hope,Gov Application,53703,18732,15722436.67,21,748687.4605
10/5/2023,20000,0.00091457,Donation,Programs/Operations,2023 HOPE,Foundation Multi Channel,62025,428,110700.59,3,36900.19667
7/5/2023,20000,0.00091457,Donation,Unrestricted,2023 Full Summer for All,Foundation Multi Channel,62025,428,70078.75,4,17519.6875
6/22/2023,20000,0.00091457,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Event,53562-3278,15390,15722436.67,21,748687.4605
3/8/2023,20000,0.00091457,Donation,Programs/Operations,Match Madness 2023,Foundation Multi Channel,62025,428,50093.11,1,50093.11
3/1/2024,18000,0.000823113,Donation,Unrestricted,In-Kind,Business Multi Channel,10003-2001,10511,1331842.88,20,66592.144
3/20/2024,17515.75,0.000800969,Donation,Programs/Operations,Support The River,Gov Application,53703-3340,1910,4151322.47,21,197682.0224
5/20/2024,16923,0.000773864,Pledge,Cap Camp Building,2023-2024 Recipe for Hope,Gov Application,Unknown,20114,15722436.67,21,748687.4605
9/26/2023,16668,0.000762203,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53527,15497,15722436.67,21,748687.4605
7/28/2024,16666.67,0.000762142,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Phone,53711-5527,67,15722436.67,21,748687.4605
1/24/2024,16666.66,0.000762142,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Phone,53711-5527,67,15722436.67,21,748687.4605
9/5/2024,16666,0.000762111,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53527,15497,15722436.67,21,748687.4605
6/15/2023,16082.86,0.000735445,Donation,Unrestricted,Support The River,Foundation Application,53704-6608,299,4151322.47,21,197682.0224
9/20/2024,15000,0.000685928,Pledge,Munch,Support The River,Foundation Application,2021,20123,4151322.47,21,197682.0224
7/5/2024,15000,0.000685928,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-1558,484,15722436.67,21,748687.4605
6/10/2024,15000,0.000685928,Donation,Munch,Support The River,Foundation Application,53713-1248,381,4151322.47,21,197682.0224
11/24/2023,15000,0.000685928,Donation,Unrestricted,Support The River,Foundation Multi Channel,53704-5961,14152,4151322.47,21,197682.0224
8/15/2023,15000,0.000685928,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53575-3442,5314,15722436.67,21,748687.4605
7/10/2023,15000,0.000685928,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-1558,484,15722436.67,21,748687.4605
7/3/2023,15000,0.000685928,Donation,Curbside,Support The River,Foundation Application,53713-1248,381,4151322.47,21,197682.0224
6/26/2023,15000,0.000685928,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53718-6219,2824,15722436.67,21,748687.4605
8/2/2023,13780.13,0.000630145,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53705-4662,216,15722436.67,21,748687.4605
2/20/2024,13225,0.00060476,Donation,Unrestricted,Support The River,Individual Multi Channel,53714-2126,2563,4151322.47,21,197682.0224
9/5/2024,12500,0.000571606,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53703-3622,2827,15722436.67,21,748687.4605
6/21/2024,12500,0.000571606,Donation,Curbside,Support The River,Business Application,54402-8026,742,4151322.47,21,197682.0224
12/28/2023,12500,0.000571606,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53558-9333,19069,15722436.67,21,748687.4605
12/19/2023,12500,0.000571606,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53955-9428,3423,15722436.67,21,748687.4605
11/27/2023,12500,0.000571606,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53572-1303,18927,15722436.67,21,748687.4605
8/31/2023,12500,0.000571606,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53703-3622,2827,15722436.67,21,748687.4605
8/3/2023,12353,0.000564884,Donation,Unrestricted,In-Kind,Business Multi Channel,53527-0081,3307,1331842.88,20,66592.144
2/22/2024,12000,0.000548742,Donation,Munch,Support The River,Gov Application,53711,19706,4151322.47,21,197682.0224
9/1/2023,11221.21,0.000513129,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53705-4662,216,15722436.67,21,748687.4605
2/7/2024,11025,0.000504157,Donation,Unrestricted,Support The River,Foundation Application,53783-0001,2596,4151322.47,21,197682.0224
11/30/2023,10850,0.000496154,Donation,Unrestricted,In-Kind,Business Multi Channel,53562-4840,5206,1331842.88,20,66592.144
1/16/2023,10747.5,0.000491467,Soft Credit,Unrestricted,ReMitts 2022,Individual Multi Channel,53705-3243,3324,21495,0,inf
1/16/2023,10747.5,0.000491467,Donation,Unrestricted,ReMitts 2022,Individual Multi Channel,Unknown,13201,21495,0,inf
7/1/2024,10544.65,0.000482191,Donation,Unrestricted,Support The River,Individual Multi Channel,53704-6006,3466,4151322.47,21,197682.0224
1/27/2023,10500,0.000480149,Donation,Unrestricted,Support The River,Foundation Application,53783-0001,2596,4151322.47,21,197682.0224
4/19/2024,10325,0.000472147,Donation,Munch,Support The River,Individual Online,53711-5147,2401,4151322.47,21,197682.0224
4/19/2024,10325,0.000472147,Donation,Unrestricted,Support The River,Individual Online,53711-5147,2401,4151322.47,21,197682.0224
3/14/2024,10325,0.000472147,Donation,Unrestricted,Support The River,Individual Online,53711-5147,2401,4151322.47,21,197682.0224
10/15/2023,10300,0.000471004,Donation,Unrestricted,Support The River,Individual Online,53551-9754,5321,4151322.47,21,197682.0224
12/27/2023,10095.28,0.000461642,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-1756,19224,15722436.67,21,748687.4605
12/23/2023,10095.28,0.000461642,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-1756,19224,15722436.67,21,748687.4605
3/15/2024,10023.65,0.000458367,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53715-1650,13872,15722436.67,21,748687.4605
3/7/2024,10023.65,0.000458367,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53715-1650,13872,15722436.67,21,748687.4605
6/14/2024,10000,0.000457285,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53575-3442,5314,15722436.67,21,748687.4605
6/3/2024,10000,0.000457285,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-1625,1238,15722436.67,21,748687.4605
4/15/2024,10000,0.000457285,Donation,Programs/Operations,Support The River,Gov Application,53703,20000,4151322.47,21,197682.0224
3/14/2024,10000,0.000457285,Donation,Unrestricted,In-Kind,Business Multi Channel,53713-2271,9480,1331842.88,20,66592.144
2/14/2024,10000,0.000457285,Soft Credit,Unrestricted,Support The River,Foundation Multi Channel,53901-9507,1964,4151322.47,21,197682.0224
2/14/2024,10000,0.000457285,Donation,Unrestricted,Support The River,Foundation Multi Channel,44236,14965,4151322.47,21,197682.0224
2/7/2024,10000,0.000457285,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,85739-1083,2328,15722436.67,21,748687.4605
1/2/2024,10000,0.000457285,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53705-1412,4937,15722436.67,21,748687.4605
12/29/2023,10000,0.000457285,Donation,Unrestricted,Support The River,Foundation Multi Channel,53704,19292,4151322.47,21,197682.0224
12/21/2023,10000,0.000457285,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53704-3000,7885,15722436.67,21,748687.4605
