Date,Type,Fund,Campaign,Appeal,Zip,Account Number,Quarter,DayOfWeek,Season,Proximity to Holiday,5 Day Window Type Mode,5 Day Window Appeal Mode,5 Day Window Campaign Mode,5 Day Window Fund Mode,5_Day_Window_Count
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53717,19178,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704,5497,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53703,19692,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,2492,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53527,674,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Mailing,53704,1924,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,4419,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53716,3568,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704,20026,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53597,9719,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53717,19178,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53949,15606,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53714,637,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53590,5002,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53718,15429,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/19/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53532,20744,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
9/19/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,677,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
9/19/2024,Donation,Unrestricted,Support The River,Business Multi Channel,53705,14420,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
9/19/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53072,20310,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
9/19/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53072,20310,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
9/18/2024,Donation,Unrestricted,Support The River,Individual Online,53703,20138,3,2,4,14,Donation,Individual Event,2024 Sips & Slices,Unrestricted,86
9/18/2024,Donation,Unrestricted,In-Kind,Individual Multi Channel,53711,2401,3,2,4,14,Donation,Individual Event,2024 Sips & Slices,Unrestricted,86
9/18/2024,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,53711,724,3,2,4,14,Donation,Individual Event,2024 Sips & Slices,Unrestricted,86
9/18/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53705,20084,3,2,4,14,Donation,Individual Event,2024 Sips & Slices,Unrestricted,86
9/17/2024,Donation,Unrestricted,Support The River,Individual Online,53713,20422,3,1,4,15,Donation,Individual Event,2024 Sips & Slices,Unrestricted,169
9/17/2024,Donation,Unrestricted,Support The River,Individual Online,53711,15038,3,1,4,15,Donation,Individual Event,2024 Sips & Slices,Unrestricted,169
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,448,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,55346,437,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53597,451,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Business Multi Channel,53704,3710,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,474,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53593,445,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53705,457,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,506,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53705,508,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,484,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,483,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,470,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53705,434,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53711,493,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,481,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,497,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53704,20298,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,477,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,444,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,430,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53593,438,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53562,467,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,431,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53711,487,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53532,1855,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,480,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53705,624,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53593,2029,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53597,28,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53705,4,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53703,482,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53589,471,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53597,1127,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,2431,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53714,464,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53590,501,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53726,490,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53711,476,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53597,502,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53705,57,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53711,441,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53704,461,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/16/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,85374,2423,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53711,18042,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53703,20409,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53703,20345,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53527,6760,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53527,20321,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53718,226,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53718,1039,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53593,20269,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53704,20410,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53719,2484,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53558,15480,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53558,15480,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53711,2636,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,20367,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53583,5458,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53583,5458,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53717,20260,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53221,20406,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53718,14759,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53221,20406,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53711,18907,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53718,5102,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53711,20302,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53718,226,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53711,18907,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53566,20284,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53711,2706,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53597,1127,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53711,2636,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53221,20406,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53527,6760,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53719,2539,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,Support The River,Individual Online,53703,20407,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,Support The River,Individual Online,53221,20406,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53717,20368,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53593,20401,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53558,20403,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,16167,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53711,20353,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53597,15947,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53704,15886,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53597,1127,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53717,20381,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53705,4,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53719,2539,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53717,20391,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53590,15509,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,5241,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53558,20403,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53583,5458,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704,408,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53561,2375,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704,19902,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53590,20408,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53711,18907,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53711,20353,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53718,5102,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53532,1133,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53718,14759,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Multi Channel,53562,12947,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,20384,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,20362,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,9828,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704,1498,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704,6758,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53583,5458,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704,6265,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704,6758,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704,444,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53583,15995,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,20397,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53705,15691,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53718,20413,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,20362,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53718,20414,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,Support The River,Faith Comm Multi Channel,53716,15057,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53711,18907,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53717,20389,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
9/15/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53589,1997,3,6,4,17,Donation,Individual Event,2024 Sips & Slices,Unrestricted,184
